Name,ID,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
Dey Your Dey,4X1Ae3Y9MEURgckWfrsrI9,0.486,0.6,0.584,3.49e-06,3.0,0.429,-6.809,0.0,0.151,122.687,3.0,0.699,rnb
Manifest (My Prayer),5PQPG6LgvLxDuB02z4zSzY,0.288,0.721,0.302,0.141,8.0,0.108,-15.531,1.0,0.218,92.002,4.0,0.739,rnb
Ma Cherie,3PemVHtCIb5abITSvos4Bq,0.0321,0.839,0.789,0.00024,0.0,0.0822,-4.238,0.0,0.0979,101.971,4.0,0.792,rnb
Simple Things,7HupMpgxBnu6QgEsJibKU0,0.237,0.725,0.632,0.00526,0.0,0.0825,-6.364,1.0,0.0409,96.976,4.0,0.733,rnb
Run Away (OMALICHA),1xet6MZrk4Zr5ebis0EF1Q,0.085,0.649,0.712,3.04e-06,0.0,0.109,-6.658,1.0,0.0636,99.74,4.0,0.415,rnb
Undress You,6LVuaveD4hazORqbg67C03,0.0849,0.533,0.594,0.0111,2.0,0.195,-6.613,0.0,0.147,95.237,4.0,0.392,rnb
POLO,3hO7VuXuBbDHOTFTY5g6L5,0.0888,0.789,0.824,0.0632,7.0,0.107,-5.582,1.0,0.0458,113.028,4.0,0.697,rnb
Sweet Tea (Aduke),1L7mOi50c91uzwkmeUhClS,0.113,0.613,0.467,0.00955,1.0,0.0947,-11.039,0.0,0.328,193.967,4.0,0.384,rnb
All I Want,34oVCWxvzVR1sJNbCEMoEC,0.592,0.766,0.763,2.21e-06,5.0,0.268,-3.608,0.0,0.0659,100.072,4.0,0.591,rnb
Feran Mi,05iqnP8vkEYkrJLQPRMkyt,0.377,0.852,0.561,0.00514,6.0,0.145,-9.264,1.0,0.0524,100.007,4.0,0.666,rnb
How Many Times,45Vvoe20MW6GD7FwoacZc8,0.412,0.654,0.666,0.00493,5.0,0.113,-6.618,1.0,0.185,209.929,4.0,0.804,rnb
